,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.4694965571165085,0.4308135986328125,18.793333333333333,0.08838101936817572
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327024574081103,0.7038599650065104,18.916666666666668,0.08852579264424265
2-5,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.2999058316151301,0.037134806315104164,21.8,0.08848867273738241
2-7,66.66666666666666,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0,0.37554367631673813,0.07977676391601562,20.25,0.08849375048210702
2-9,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.22453217580914497,0.0934906005859375,19.616666666666667,0.08856613937125196
2-11,50.0,0.0,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.31239218016465503,1.4337921142578125,17.544444444444444,0.08828005556374988
2-13,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.22558877368768057,1.4491780598958333,16.966666666666665,0.08821833517536068
2-15,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.2990421752134959,1.3875986735026042,19.333333333333332,0.08834079429346336
3-1,50.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.44249651332696277,2.3528964345653853,20.444444444444443,0.08902079348661461
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2675100117921829,0.02595471761499842,22.5,0.08880628087925042
3-5,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.22242600619792938,0.3873840305954218,21.6,0.088675055924822
3-7,33.33333333333333,0.0,16.666666666666664,0.0,50.0,0.0,0.0,0.4112101197242737,1.0303153237327933,18.766666666666666,0.0886860122751111
3-9,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.20196220775445303,0.5478358268737793,19.91111111111111,0.08862673953364167
3-11,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.33203189820051193,0.3104951656423509,22.958333333333336,0.08877065098505979
3-13,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.2030058465898037,0.6067334553226829,20.48333333333333,0.08881493195536277
3-15,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,0.2835099995136261,0.8511351924389601,22.53333333333333,0.08895446507136028
Avg,62.5,0.0,5.208333333333332,1.0416666666666665,18.749999999999996,1.0416666666666665,11.458333333333332,0.30610490919401245,0.7330246705561876,20.151145833333334,0.08860309310918477
