,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.09208707644114633
2-3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,,0.09218200976359749
2-5,50.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.45744721094767254,2.675847371419271,24.977777777777778,0.09211608159502215
2-7,33.33333333333333,16.666666666666664,0.0,0.0,50.0,0.0,0.0,0.4953286796808243,0.06317901611328125,22.75,0.09196707597257156
2-9,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.2396567016839981,8.027191162109375,24.033333333333335,0.09218035629215408
2-11,0.0,0.0,0.0,0.0,16.666666666666664,0.0,83.33333333333334,,,,0.09194422095400501
2-13,16.666666666666664,33.33333333333333,0.0,0.0,50.0,0.0,0.0,0.2809436619281769,0.0478363037109375,26.766666666666666,0.0921402964237574
2-15,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.488241208717227,0.3445892333984375,24.866666666666667,0.09210586532349704
3-1,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.6169148882230123,2.143042139708996,22.78888888888889,0.09204001012055771
3-3,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.20927686989307404,0.05403780750930309,19.700000000000003,0.09204384872358139
3-5,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.7203829064965248,2.0884000036749057,22.108333333333334,0.09207269853475142
3-7,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.19363954663276672,0.06201171875,24.077777777777772,0.09219330326579082
3-9,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.3643440951903661,0.07990126808484395,25.711111111111112,0.09211373975200038
3-11,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.46255284547805786,0.038795607164502144,22.7,0.09211032992176965
3-13,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.7356330752372742,3.4738351106643677,23.016666666666666,0.09207121983660443
3-15,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.0,50.0,0.2606770098209381,0.0180358849465847,27.433333333333334,0.09206832569010936
Avg,33.33333333333333,6.249999999999999,0.0,0.0,32.29166666666666,0.0,28.124999999999996,,,,0.09208977866318227
