,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09795744922564707
2-3,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09797928422410912
2-5,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09789264765158538
2-7,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09887667685600818
2-9,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09872282810211182
2-11,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09816075828032998
2-13,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09778930920642624
2-15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09793963910009887
3-1,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09879298155544368
3-3,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09847101033162728
3-5,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09812002827317795
3-7,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09779208555271489
3-9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09795493592705873
3-11,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09800277182756247
3-13,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.0981962047866764
3-15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.0982247526807584
Avg,0.0,0.0,0.0,0.0,71.875,28.125,0.0,,,,0.09817958522383352
