,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09870153701063845
2-3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09827797797751711
2-5,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09806758523638782
2-7,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09806192802781818
2-9,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09802877046678989
2-11,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.0981414522119634
2-13,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09943964628472302
2-15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.1006835441424455
3-1,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09973673991048389
3-3,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09895846375033386
3-5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09840525780323046
3-7,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09863143061725292
3-9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09846754926611359
3-11,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.09846237749130773
3-13,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09971114716416013
3-15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09902789935072011
Avg,0.0,0.0,0.0,0.0,85.41666666666666,13.541666666666664,1.0416666666666665,,,,0.09880020666949288
