,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09867985927275498
2-3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.10008840292692184
2-5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09833907272049529
2-7,0.0,0.0,0.0,0.0,83.33333333333334,0.0,16.666666666666664,,,,0.09805220529847875
2-9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09798618161080748
2-11,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09860211528322232
2-13,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09785994547480664
2-15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09913426692332697
3-1,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09857755641003589
3-3,0.0,0.0,0.0,0.0,50.0,50.0,0.0,,,,0.09945977746697811
3-5,0.0,0.0,0.0,0.0,50.0,33.33333333333333,16.666666666666664,,,,0.09888693015783945
3-7,0.0,0.0,0.0,0.0,50.0,33.33333333333333,16.666666666666664,,,,0.0981626972841577
3-9,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09781868717113099
3-11,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09757185956808444
3-13,0.0,0.0,0.0,0.0,83.33333333333334,16.666666666666664,0.0,,,,0.09842060791267143
3-15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09816987022718623
Avg,0.0,0.0,0.0,0.0,81.25,15.624999999999998,3.1249999999999996,,,,0.09848812723180617
