,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,16.666666666666664,16.666666666666664,0.0,0.0,16.666666666666664,50.0,0.0,1.0513869524002075,5.13763427734375,23.5,0.09880209101570978
2-3,50.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,16.666666666666664,0.39997483293215436,1.0530751546223958,21.055555555555554,0.09842048694619614
2-5,0.0,0.0,16.666666666666664,0.0,50.0,16.666666666666664,16.666666666666664,,,,0.09820060034437968
2-7,0.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666,,,,0.09790578618137978
2-9,50.0,0.0,33.33333333333333,0.0,0.0,0.0,16.666666666666664,0.33118558923403424,0.048884073893229164,21.266666666666666,0.09821363536908233
2-11,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,66.66666666666666,,,,0.09794355197256209
2-13,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,0.0,16.666666666666664,0.33581024408340454,0.04927825927734375,20.916666666666664,0.09823432816708401
2-15,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.40841004252433777,0.3585968017578125,16.233333333333334,0.09866235935887928
3-1,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,,,,0.09928900010782753
3-3,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333,,,,0.0979911068964271
3-5,0.0,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,,,,0.09833327497056941
3-7,0.0,0.0,0.0,0.0,50.0,16.666666666666664,33.33333333333333,,,,0.09820013615903975
3-9,0.0,0.0,16.666666666666664,0.0,66.66666666666666,0.0,16.666666666666664,,,,0.09841805181511454
3-11,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,0.09844768940176002
3-13,0.0,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,,,,0.09806695386845288
3-15,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,1.0110183954238892,7.855251789093018,19.6,0.0980190403480164
Avg,11.458333333333332,1.0416666666666665,11.458333333333332,0.0,40.625,10.416666666666664,24.999999999999996,,,,0.09832175580765505
