,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35229499886433285,0.33284250895182294,21.3,0.15889239233112257
2-3,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.24491037726402282,0.4230865478515625,19.92,0.15805939721845394
2-5,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.43672954440116885,0.0997894287109375,19.08,0.1584387765523454
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32584234327077866,0.6237894694010416,19.95,0.15785194008469686
2-9,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.2793218642473221,0.034230550130208336,19.133333333333333,0.15743963698710292
2-11,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.2793390949567159,0.8855794270833334,19.766666666666666,0.1574203003358912
2-13,50.0,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.34710122644901276,0.09610493977864583,20.58888888888889,0.1573119956964082
2-15,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.1485926111539205,0.2811228434244792,19.01111111111111,0.15728824213733825
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3230285048484802,1.1853532654543717,23.322222222222223,0.1572854341231231
3-3,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.4056768000125885,0.04412823263555765,20.1,0.1571771099950407
3-5,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.30303243175148964,0.11661054939031601,23.55,0.15744062686382337
3-7,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.34658442810177803,0.0430526752024889,22.875,0.1576524473964843
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24823579440514246,0.1506920581062635,21.82777777777778,0.1619793013703051
3-11,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.31683965027332306,0.05771024078130722,23.973333333333336,0.1622100798620118
3-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.21943539381027222,0.6191147384233773,22.53333333333333,0.16226251723614524
3-15,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.2648263841867447,1.126598254777491,24.479999999999997,0.16223693333088457
Avg,76.04166666666666,4.166666666666666,4.166666666666666,0.0,7.291666666666666,0.0,8.333333333333332,0.3026119654998183,0.38248785813145025,21.338229166666668,0.15880919572007357
