,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.29726842045783997,1.0404090881347656,22.658333333333335,0.16224384429606986
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317412165304025,0.1725311279296875,19.42222222222222,0.16238686453134143
2-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4533015042543411,0.4891510009765625,20.772222222222226,0.162407687015405
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4498864064613978,0.147247314453125,20.866666666666664,0.1621941062027976
2-9,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.2808374743908644,0.13556671142578125,19.275,0.15944976666981206
2-11,50.0,0.0,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.34789109230041504,1.1651763916015625,21.96666666666667,0.16090095843354316
2-13,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.5518471399943033,0.055379231770833336,19.666666666666668,0.15915314840081848
2-15,66.66666666666666,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.34178299084305763,0.11295700073242188,19.066666666666666,0.16215648540989572
3-1,50.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.25138018031915027,0.028902682242915034,22.311111111111114,0.16067454858577296
3-3,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.35728806257247925,1.1284463421131175,21.51111111111111,0.1622219082449569
3-5,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.35513198375701904,0.7213130807504058,22.48,0.16321957713073418
3-7,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5421581268310547,0.8069731462746859,24.883333333333333,0.15958550308917033
3-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.268407529592514,0.3459112323820591,25.526666666666664,0.15745847624124118
3-11,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.3676757663488388,0.05056742555461824,25.458333333333336,0.15759789317884457
3-13,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.21699382737278938,0.25594837507233026,22.486666666666668,0.16178571479735926
3-15,50.0,0.0,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.3683771292368571,0.2763885750124852,25.46666666666667,0.16035723565039822
Avg,70.83333333333333,1.0416666666666665,3.1249999999999996,0.0,5.208333333333332,1.0416666666666665,18.749999999999996,0.3604774875023092,0.4333042954017098,22.113645833333333,0.16086210736738504
