,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27578941235939664,0.37739817301432294,19.627777777777776,0.09384463601193185
2-3,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.32683542668819426,0.715087890625,19.113333333333333,0.09379434036511673
2-5,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.3711858332157135,0.9007904052734375,20.326666666666668,0.09318530167403974
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3403141250212987,0.07129160563151042,20.20555555555556,0.0936641802709204
2-9,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.3349921241402626,1.0386077880859375,19.906666666666666,0.09369686963292431
2-11,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5263093635439873,1.4827346801757812,19.358333333333334,0.09348566676968727
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40462066357334453,0.5065460205078125,19.883333333333333,0.09381552435753104
2-15,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.34719851315021516,1.1932464599609376,19.606666666666666,0.0933899646740781
3-1,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.2894875667989254,1.2055931724607944,22.75,0.09371596037031034
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2570339987675349,0.5440809936262667,21.033333333333335,0.09347100491539584
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3216610749562581,0.04282998897057647,22.066666666666666,0.09293496354295332
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3192041218280792,0.0423661433160305,22.37222222222222,0.09331665537084162
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666303602357705,0.030930216540582478,22.072222222222223,0.09354859001551692
3-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4057072624564171,0.6286406243840853,19.17222222222222,0.09353096253705985
3-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.3203059248626232,0.03759407822508365,22.9,0.09295907623383423
3-15,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.35677760988473894,0.8855228392407298,23.273333333333333,0.09354130760534729
Avg,88.54166666666667,0.0,1.0416666666666665,0.0,6.249999999999999,0.0,4.166666666666666,0.3415033363426725,0.6064538175024305,20.85427083333333,0.09349343777171806
