,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39140447974205017,0.1780573527018229,19.472222222222225,0.0939365227301844
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3460361609856288,0.02410125732421875,18.855555555555554,0.0938841362017271
2-5,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.36204171776771543,0.0439788818359375,21.273333333333333,0.09299196044667157
2-7,83.33333333333334,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.28175150156021117,0.619012451171875,18.726666666666667,0.09343411562195861
2-9,83.33333333333334,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.37518802285194397,0.0247894287109375,21.759999999999998,0.093794992458839
2-11,50.0,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.42193809151649475,1.1089680989583333,19.955555555555552,0.09322138802479889
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35430940116445225,1.5196762084960938,18.177777777777777,0.09359486913173265
2-15,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.2462987259030342,0.4962158203125,18.82,0.09318626584030512
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3572743982076645,0.038837545861800514,24.005555555555556,0.09356002472934088
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19906180600325266,0.015237119417482367,20.933333333333334,0.09344554764769947
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41605421155691147,1.2481232329349343,23.13888888888889,0.09286067753110819
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3448382169008255,0.06211185393234094,22.333333333333332,0.09321808238033202
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4253364900747935,1.0226537090881418,22.188888888888886,0.09335983268120004
3-11,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.4658499717712402,0.045400014333426955,21.386666666666663,0.09383551803412901
3-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31788164128859836,0.04125559291181465,23.11666666666667,0.09302572603951564
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2779048904776573,0.37056708553185064,21.055555555555554,0.09383559839840157
Avg,91.66666666666667,3.1249999999999996,2.083333333333333,1.0416666666666665,1.0416666666666665,0.0,1.0416666666666665,0.34894810798577963,0.4286866033452194,20.950000000000003,0.0934490786186215
