,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34629400074481964,0.089019775390625,22.05,0.224755035726588
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304576076567173,0.23801422119140625,21.566666666666666,0.22275522264462072
2-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26796773448586464,0.22957611083984375,21.25,0.22344163553214366
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25384070724248886,0.7466049194335938,22.116666666666667,0.22354235491290442
2-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22352806478738785,0.133514404296875,21.416666666666664,0.2237149561529929
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32404038310050964,0.09304046630859375,21.6,0.22331455899673758
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26652611047029495,0.23899078369140625,21.35,0.22328641783693207
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2270687371492386,0.35057830810546875,21.183333333333334,0.22305654771257155
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357851207256317,0.3650863394141197,22.03333333333333,0.22391940182574854
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139714151620865,0.3197936713695526,21.46666666666667,0.2235607781061312
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29581379890441895,0.6324368715286255,22.083333333333336,0.2224596093450596
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340970017015934,0.4067687913775444,21.46666666666667,0.2229372204803839
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3099469691514969,0.18832510709762573,22.166666666666664,0.22203672550759226
3-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27377617359161377,0.5182036906480789,21.666666666666664,0.222772937465981
3-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3062461018562317,0.21897628158330917,22.133333333333333,0.22495354884623353
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2921129912137985,0.22203666903078556,21.5,0.22321349454912245
Avg,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926540251355618,0.3119354007067159,21.690624999999997,0.22335752785260896
