,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462940007448196,0.089019775390625,22.05,0.224755035726588
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304576076567173,0.2380142211914062,21.566666666666663,0.2227552226446207
2-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679677344858646,0.2295761108398437,21.25,0.2234416355321436
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538407072424888,0.7466049194335938,22.116666666666667,0.2235423549129044
2-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2235280647873878,0.133514404296875,21.416666666666664,0.2237149561529929
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3240403831005096,0.0930404663085937,21.6,0.2233145589967375
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665261104702949,0.2389907836914062,21.35,0.223286417836932
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2270687371492386,0.3505783081054687,21.183333333333334,0.2230565477125715
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357851207256317,0.3650863394141197,22.03333333333333,0.2239194018257485
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3139714151620865,0.3197936713695526,21.46666666666667,0.2235607781061312
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2958137989044189,0.6324368715286255,22.083333333333336,0.2224596093450596
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340970017015934,0.4067687913775444,21.46666666666667,0.2229372204803839
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3099469691514969,0.1883251070976257,22.166666666666664,0.2220367255075922
3-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2737761735916137,0.5182036906480789,21.666666666666664,0.222772937465981
3-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3062461018562317,0.2189762815833091,22.133333333333333,0.2249535488462335
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2921129912137985,0.2220366690307855,21.5,0.2232134945491224
Avg,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2926540251355618,0.3119354007067159,21.690624999999997,0.22335752785260893
