,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.49267686158418655,0.08066558837890625,21.175,0.15757648749256345
2-3,16.666666666666664,0.0,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.549775242805481,2.479888916015625,17.6,0.1572359345213962
2-5,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.5536415080229441,0.0827484130859375,20.344444444444445,0.15745524667267108
2-7,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,0.0,0.0,0.5656222850084305,0.05511474609375,19.85,0.1584716791048982
2-9,50.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.27666137119134265,0.15876261393229166,20.344444444444445,0.16190253856995096
2-11,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,50.0,,,,0.16188185154499757
2-13,50.0,0.0,16.666666666666664,0.0,33.33333333333333,0.0,0.0,0.5661945641040802,0.12133280436197917,21.23333333333333,0.16169794799004203
2-15,16.666666666666664,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,33.33333333333333,0.29308873414993286,3.9249114990234375,15.733333333333333,0.16173493336761613
3-1,50.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.2913285841544469,0.5248726283510526,19.144444444444446,0.16192534709798878
3-3,83.33333333333334,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.27006055414676666,0.43550553172826767,19.85333333333333,0.16188988360491666
3-5,16.666666666666664,16.666666666666664,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.5551221966743469,0.020263671875,20.3,0.16181832112173083
3-7,50.0,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.310250923037529,0.06488427209357421,23.333333333333332,0.16184102930691308
3-9,50.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.7053638696670532,2.5359505812327066,21.2,0.16201801277766717
3-11,50.0,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333,0.4188449482123057,0.04304263864954313,20.76666666666667,0.16178289869762089
3-13,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.345928430557251,0.7146105756983161,22.308333333333334,0.16205030399430134
3-15,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.3709915727376938,2.3791014266510806,21.98888888888889,0.16199756948343494
Avg,43.75,10.416666666666664,7.291666666666666,0.0,20.83333333333333,1.0416666666666665,16.666666666666664,,,,0.16082999908429435
