,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,66.66666666666666,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.5079741105437279,0.12771224975585938,21.083333333333332,0.16185489707678294
2-3,16.666666666666664,0.0,0.0,0.0,50.0,0.0,33.33333333333333,0.32338422536849976,3.7285003662109375,20.933333333333334,0.16184082070598904
2-5,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.38160285353660583,0.18488566080729166,19.433333333333334,0.16187280459524492
2-7,16.666666666666664,33.33333333333333,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.8871303200721741,0.1230926513671875,20.1,0.16200490128714967
2-9,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,33.33333333333333,0.556022897362709,0.223175048828125,22.383333333333333,0.1618346256639046
2-11,16.666666666666664,0.0,16.666666666666664,0.0,16.666666666666664,0.0,50.0,0.5985742807388306,3.21234130859375,17.133333333333333,0.16183686292478067
2-13,66.66666666666666,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,0.6517713665962219,2.776947021484375,19.225,0.16153796661171274
2-15,50.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.3685380145907402,1.2877858479817708,19.88888888888889,0.16173078462232013
3-1,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.45796482264995575,2.0631258506327868,18.5,0.1616033874347569
3-3,50.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.0,0.5212974299987158,2.1117001424233117,22.211111111111112,0.16161543119649655
3-5,50.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.0,0.3787292738755544,0.048205758755405746,23.04444444444444,0.16149147085564905
3-7,50.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.41373197734355927,1.0422262325882912,22.255555555555556,0.1616660412664129
3-9,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.5767934024333954,1.1108518056571484,21.516666666666666,0.1614880262124356
3-11,50.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.4439716339111328,1.1402893668661516,24.811111111111114,0.16158848449557636
3-13,50.0,0.0,0.0,0.0,33.33333333333333,0.0,16.666666666666664,0.6686616241931915,1.9643665850162506,19.2,0.16156057604066618
3-15,50.0,0.0,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.5278533299763998,2.2589927539229393,20.755555555555556,0.16145566068174227
Avg,44.79166666666666,8.333333333333332,3.1249999999999996,1.0416666666666665,27.08333333333333,0.0,15.624999999999996,0.5165000976994634,1.4627624156807237,20.7796875,0.16168642135447628
