,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17009323835372925,0.7115020751953125,22.0,0.22484975712639946
2-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3029335215687752,0.34814453125,21.483333333333334,0.22750511134627963
2-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30941009521484375,0.493408203125,21.45,0.2222767387948385
2-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2055700719356537,0.37027740478515625,21.883333333333333,0.22554194557353818
2-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3290468603372574,0.277374267578125,21.9,0.2247173004743585
2-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3847442716360092,0.6180038452148438,21.78333333333333,0.2261201934172557
2-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29194176197052,0.09133148193359375,21.0,0.22570891035465232
2-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34062743186950684,0.18257904052734375,21.78333333333333,0.22382803146655744
3-1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32255932688713074,0.16802748292684555,21.6,0.22396487416135774
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4320138245820999,0.4751002565026283,21.450000000000003,0.22359797896408454
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181107759475708,0.4855346530675888,21.833333333333336,0.22179602150711716
3-7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1961359828710556,0.534453809261322,21.96666666666667,0.22401588133403233
3-9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17877621948719025,0.3070525862276554,21.516666666666666,0.22280676405505254
3-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19615249522030354,0.4438691511750221,21.65,0.22650134188210994
3-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3891063928604126,0.6245716363191605,21.433333333333334,0.22310925111538027
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2890498787164688,0.3077644146978855,21.46666666666667,0.22311497839485728
Avg,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28245432081166655,0.4024371774867177,21.6375,0.22434094249799197
