,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,66.66666666666666,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.4378983862698078,0.03618621826171875,19.766666666666666,0.08991403234604703
2-3,50.0,0.0,16.666666666666664,0.0,16.666666666666664,16.666666666666664,0.0,0.48140164216359455,2.2128397623697915,15.388888888888891,0.08974039951960246
2-5,50.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.0,0.30893754462401074,0.0290985107421875,17.655555555555555,0.0896857548848488
2-7,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.41371949513753253,0.6232961018880209,17.233333333333334,0.08995050692903822
2-9,50.0,16.666666666666664,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.47122352321942645,0.08887227376302083,16.522222222222222,0.08973914182175734
2-11,50.0,0.0,16.666666666666664,0.0,0.0,0.0,33.33333333333333,0.3323866327603658,0.401885986328125,17.355555555555554,0.0898874302705129
2-13,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.42746035382151604,0.8233451843261719,16.541666666666668,0.08974230207407603
2-15,16.666666666666664,16.666666666666664,16.666666666666664,0.0,0.0,0.0,50.0,0.1137290671467781,0.0440826416015625,17.166666666666668,0.08973081944976323
3-1,33.33333333333333,0.0,0.0,0.0,50.0,0.0,16.666666666666664,0.40633317828178406,0.011683620978146791,20.566666666666666,0.0902145667315384
3-3,50.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.0,0.2792900800704956,0.07159095133344333,19.88888888888889,0.09005753624773104
3-5,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.324827978014946,0.079366085678339,20.693333333333335,0.08964110965102567
3-7,66.66666666666666,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.31657572463154793,0.013269022572785616,18.775,0.08970581686320359
3-9,33.33333333333333,0.0,0.0,0.0,33.33333333333333,16.666666666666664,16.666666666666664,0.8186305165290833,0.13121040537953377,22.56666666666667,0.08964550663760562
3-11,66.66666666666666,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.4365734774619341,0.06475816294550896,19.516666666666666,0.08970227803567517
3-13,33.33333333333333,16.666666666666664,0.0,0.0,16.666666666666664,0.0,33.33333333333333,0.2421572245657444,0.0712530892342329,20.53333333333333,0.08968264943389997
3-15,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.5615097761154175,4.805631697177887,20.493333333333332,0.08965205335872971
Avg,53.125,7.291666666666665,4.166666666666666,0.0,20.833333333333332,4.166666666666666,10.416666666666666,0.39829091255087407,0.5942731071612797,18.79152777777778,0.08979324401594095
