,TSR,TFR,NTSR,NTFR,CR,OR,TR,APE,AOE,APT,AIT
2-1,33.33333333333333,33.33333333333333,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.21902726590633392,0.11031341552734375,19.633333333333333,0.08997604132797311
2-3,83.33333333333334,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.43076079785823823,0.10025634765625,18.666666666666664,0.08979250268035804
2-5,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.4724652171134949,0.032541910807291664,19.255555555555556,0.08973033786437672
2-7,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.3673451244831085,0.046178181966145836,19.544444444444444,0.08981653834701678
2-9,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.4361603409051895,0.040618896484375,16.516666666666666,0.08964269580553524
2-11,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.26866287489732105,0.242706298828125,21.844444444444445,0.08975549709459066
2-13,50.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.2785430997610092,0.3271738688151042,17.03333333333333,0.08975217094386581
2-15,33.33333333333333,0.0,16.666666666666664,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.3127311021089554,1.4877090454101562,18.583333333333336,0.08981467558971608
3-1,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0,16.666666666666664,0.1802956610918045,0.04644775390625,17.133333333333333,0.08991475825483919
3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296824683745702,0.07431737830241521,21.17222222222222,0.08996994843864914
3-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33217961837848026,0.0778528811254849,20.08888888888889,0.09000184336257855
3-7,66.66666666666666,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,0.30405690893530846,0.03161240462213755,18.383333333333333,0.08985043654757993
3-9,83.33333333333334,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.43283241987228394,0.025900095666293053,20.26666666666667,0.08977903107957699
3-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26121433824300766,0.6736854353609184,20.861111111111114,0.08983315825961961
3-13,66.66666666666666,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.43933942914009094,0.669290560297668,18.683333333333334,0.08996047111766044
3-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38787975907325745,1.7937892094487324,20.833333333333332,0.08982822481364836
Avg,65.625,3.1249999999999996,7.291666666666666,1.0416666666666665,19.791666666666664,0.0,3.1249999999999996,0.34707352663390334,0.3612746052640432,19.28125,0.08983864572047404
